sta,start,goal
G渋谷,False,False
表参道,True,False
外苑前,True,False
青山一丁目,True,False
赤坂見附,True,False
溜池山王,True,False
虎ノ門,False,False
新橋,True,False
銀座,False,False
京橋,True,False
日本橋,True,False
G三越前,False,False
神田,True,False
末広町,True,False
上野広小路,False,False
G上野,False,False
稲荷町,True,False
田原町,True,False
M池袋,False,False
新大塚,True,False
茗荷谷,True,False
後楽園,True,False
本郷三丁目,True,False
御茶ノ水,True,False
淡路町,False,False
M大手町,False,False
東京,True,False
霞ケ関,True,False
国会議事堂前,True,False
四ツ谷,True,False
四谷三丁目,True,False
新宿御苑前,True,False
M新宿三丁目,False,False
新宿,False,False
西新宿,False,False
中野坂上,False,False
新中野,False,False
東高円寺,False,False
新高円寺,False,False
南阿佐ケ谷,False,False
中野新橋,False,False
中野富士見町,False,False
北千住,True,False
南千住,True,False
三ノ輪,True,False
入谷,True,False
H上野,False,False
仲御徒町,False,False
秋葉原,True,False
小伝馬町,True,False
人形町,False,False
茅場町,True,False
八丁堀,True,False
築地,False,False
東銀座,True,False
日比谷,False,False
虎ノ門ヒルズ,False,False
神谷町,True,False
六本木,True,False
広尾,False,False
恵比寿,False,False
中野,False,False
落合,False,False
高田馬場,True,False
早稲田,True,False
神楽坂,True,False
T飯田橋,False,False
九段下,True,False
竹橋,True,False
T大手町,False,False
門前仲町,True,False
木場,True,False
東陽町,True,False
南砂町,True,False
西葛西,True,False
葛西,False,False
浦安,False,False
南行徳,False,False
行徳,False,False
妙典,False,False
原木中山,False,False
北綾瀬,False,False
綾瀬,False,False
町屋,True,False
西日暮里,True,False
千駄木,True,False
根津,True,False
湯島,True,False
新御茶ノ水,False,False
C大手町,False,False
二重橋前,True,False
赤坂,True,False
乃木坂,True,False
明治神宮前〈原宿〉,False,False
代々木公園,False,False
和光市,False,False
地下鉄成増,False,False
地下鉄赤塚,False,False
平和台,False,False
氷川台,False,False
小竹向原,False,False
千川,False,False
要町,False,False
Y池袋,False,False
東池袋,True,False
護国寺,True,False
江戸川橋,True,False
YN飯田橋,False,False
市ケ谷,True,False
麹町,True,False
永田町,True,False
桜田門,True,False
有楽町,False,False
銀座一丁目,False,False
新富町,False,False
月島,True,False
豊洲,True,False
辰巳,False,False
ZF渋谷,False,False
半蔵門,True,False
神保町,True,False
Z大手町,False,False
Z三越前,False,False
水天宮前,False,False
清澄白河,True,False
住吉,True,False
錦糸町,True,False
目黒,False,False
白金台,False,False
白金高輪,False,False
麻布十番,True,False
六本木一丁目,True,False
東大前,True,False
本駒込,True,False
駒込,True,False
西ケ原,False,False
王子,False,False
王子神谷,False,False
志茂,False,False
F池袋,False,False
雑司が谷,False,False
西早稲田,False,False
東新宿,False,False
F新宿三丁目,False,False
北参道,False,False
浅草,True,False
押上〈スカイツリー前〉,True,False
荻窪,False,False
方南町,False,False
中目黒,False,False
西船橋,False,False
代々木上原,False,False
新木場,False,False
赤羽岩淵,False,False
c-浅草,False,True
c-日本橋,False,True
c-新橋,False,True
c-新宿三丁目,False,False
c-大手町,False,False
c-淡路町,False,False
c-人形町,False,False
c-東銀座,False,True
c-日比谷,False,False
c-神保町,False,True
c-市ケ谷,False,True
c-中野坂上,False,True
c-青山一丁目,False,True
c-六本木,False,True
c-麻布十番,False,True
c-月島,False,True
c-門前仲町,False,True
c-上野広小路,False,False
c-本郷三丁目,False,True
c-後楽園,False,True
c-飯田橋,False,False
c-新宿,False,True
c-清澄白河,False,True
c-住吉,False,True
c-押上,False,True
c-東新宿,False,True
c-秋葉原,False,True
