line,dep,arr,dist
銀座線,G渋谷,表参道,13
銀座線,表参道,外苑前,7
銀座線,外苑前,青山一丁目,7
銀座線,青山一丁目,赤坂見附,13
銀座線,赤坂見附,溜池山王,9
銀座線,溜池山王,虎ノ門,6
銀座線,虎ノ門,新橋,8
銀座線,新橋,銀座,9
銀座線,銀座,京橋,7
銀座線,京橋,日本橋,7
銀座線,日本橋,G三越前,6
銀座線,G三越前,神田,7
銀座線,神田,末広町,11
銀座線,末広町,上野広小路,6
銀座線,上野広小路,G上野,5
銀座線,G上野,稲荷町,7
銀座線,稲荷町,田原町,7
銀座線,田原町,浅草,8
丸ノ内線,M池袋,新大塚,18
丸ノ内線,新大塚,茗荷谷,12
丸ノ内線,茗荷谷,後楽園,18
丸ノ内線,後楽園,本郷三丁目,8
丸ノ内線,本郷三丁目,御茶ノ水,8
丸ノ内線,御茶ノ水,淡路町,8
丸ノ内線,淡路町,M大手町,9
丸ノ内線,M大手町,東京,6
丸ノ内線,東京,銀座,11
丸ノ内線,銀座,霞ケ関,10
丸ノ内線,霞ケ関,国会議事堂前,7
丸ノ内線,国会議事堂前,赤坂見附,9
丸ノ内線,赤坂見附,四ツ谷,13
丸ノ内線,四ツ谷,四谷三丁目,10
丸ノ内線,四谷三丁目,新宿御苑前,9
丸ノ内線,新宿御苑前,M新宿三丁目,7
丸ノ内線,M新宿三丁目,新宿,3
丸ノ内線,新宿,西新宿,8
丸ノ内線,西新宿,中野坂上,11
丸ノ内線,中野坂上,新中野,11
丸ノ内線,新中野,東高円寺,10
丸ノ内線,東高円寺,新高円寺,9
丸ノ内線,新高円寺,南阿佐ケ谷,12
丸ノ内線,南阿佐ケ谷,荻窪,15
丸ノ内支線,中野坂上,中野新橋,13
丸ノ内支線,中野新橋,中野富士見町,6
丸ノ内支線,中野富士見町,方南町,13
日比谷線,北千住,南千住,21
日比谷線,南千住,三ノ輪,8
日比谷線,三ノ輪,入谷,12
日比谷線,入谷,H上野,12
日比谷線,H上野,仲御徒町,5
日比谷線,仲御徒町,秋葉原,10
日比谷線,秋葉原,小伝馬町,9
日比谷線,小伝馬町,人形町,6
日比谷線,人形町,茅場町,9
日比谷線,茅場町,八丁堀,5
日比谷線,八丁堀,築地,10
日比谷線,築地,東銀座,6
日比谷線,東銀座,銀座,4
