sta,change,connect
G渋谷,TRUE,FALSE
表参道,FALSE,FALSE
外苑前,FALSE,FALSE
青山一丁目,FALSE,FALSE
赤坂見附,FALSE,FALSE
溜池山王,FALSE,FALSE
虎ノ門,TRUE,FALSE
新橋,FALSE,FALSE
銀座,TRUE,FALSE
京橋,FALSE,FALSE
日本橋,FALSE,FALSE
G三越前,TRUE,FALSE
神田,FALSE,FALSE
末広町,FALSE,FALSE
上野広小路,TRUE,FALSE
G上野,TRUE,FALSE
稲荷町,FALSE,FALSE
田原町,FALSE,FALSE
M池袋,TRUE,FALSE
新大塚,FALSE,FALSE
茗荷谷,FALSE,FALSE
後楽園,FALSE,FALSE
本郷三丁目,FALSE,FALSE
御茶ノ水,FALSE,FALSE
淡路町,TRUE,FALSE
M大手町,TRUE,FALSE
東京,FALSE,FALSE
霞ケ関,FALSE,FALSE
国会議事堂前,FALSE,FALSE
四ツ谷,FALSE,FALSE
四谷三丁目,FALSE,FALSE
新宿御苑前,FALSE,FALSE
M新宿三丁目,TRUE,FALSE
新宿,FALSE,FALSE
西新宿,FALSE,FALSE
中野坂上,FALSE,FALSE
新中野,FALSE,FALSE
東高円寺,FALSE,FALSE
新高円寺,FALSE,FALSE
南阿佐ケ谷,FALSE,FALSE
中野新橋,FALSE,FALSE
中野富士見町,FALSE,FALSE
北千住,FALSE,FALSE
南千住,FALSE,FALSE
三ノ輪,FALSE,FALSE
入谷,FALSE,FALSE
H上野,TRUE,FALSE
仲御徒町,TRUE,FALSE
秋葉原,FALSE,FALSE
小伝馬町,FALSE,FALSE
人形町,TRUE,FALSE
茅場町,FALSE,FALSE
八丁堀,FALSE,FALSE
築地,TRUE,FALSE
東銀座,FALSE,FALSE
日比谷,TRUE,FALSE
虎ノ門ヒルズ,TRUE,FALSE
神谷町,FALSE,FALSE
六本木,FALSE,FALSE
広尾,FALSE,FALSE
恵比寿,FALSE,FALSE
中野,FALSE,FALSE
落合,FALSE,FALSE
高田馬場,FALSE,FALSE
早稲田,FALSE,FALSE
神楽坂,FALSE,FALSE
T飯田橋,TRUE,FALSE
九段下,FALSE,FALSE
竹橋,FALSE,FALSE
T大手町,TRUE,FALSE
門前仲町,FALSE,FALSE
木場,FALSE,FALSE
東陽町,FALSE,FALSE
南砂町,FALSE,FALSE
西葛西,FALSE,FALSE
葛西,FALSE,FALSE
浦安,FALSE,FALSE
南行徳,FALSE,FALSE
行徳,FALSE,FALSE
妙典,FALSE,FALSE
原木中山,FALSE,FALSE
北綾瀬,FALSE,FALSE
綾瀬,FALSE,FALSE
町屋,FALSE,FALSE
西日暮里,FALSE,FALSE
