sta,start,goal
西馬込,False,False
馬込,False,False
中延,False,False
戸越,False,False
五反田,False,False
高輪台,False,False
泉岳寺,False,False
三田,False,False
大門,False,False
新橋,False,False
東銀座,False,False
宝町,False,False
日本橋,True,False
人形町,True,False
東日本橋,False,False
浅草橋,False,False
A蔵前,False,False
浅草,False,False
本所吾妻橋,False,False
目黒,False,False
白金台,False,False
白金高輪,False,False
芝公園,False,False
御成門,False,False
内幸町,True,False
日比谷,False,False
大手町,True,False
神保町,True,False
水道橋,True,False
春日,True,False
白山,False,False
千石,False,False
巣鴨,False,False
西巣鴨,False,False
新板橋,False,False
板橋区役所前,False,False
板橋本町,False,False
本蓮沼.,False,False
志村坂上,False,False
志村三丁目,False,False
蓮根,False,False
西台,False,False
高島平,False,False
新高島平,False,False
新宿,False,False
新宿三丁目,False,False
曙橋,True,False
市ヶ谷,True,False
九段下,True,False
小川町,True,False
岩本町,True,False
馬喰横山,False,False
浜町,False,False
森下,False,False
菊川,False,False
住吉,False,False
西大島,False,False
大島,False,False
東大島,False,False
船堀,False,False
一之江,False,False
瑞江,False,False
篠崎,False,False
都庁前,False,False
新宿西口,False,False
東新宿,False,False
若松河田,False,False
牛込柳町,False,False
牛込神楽坂,True,False
飯田橋,True,False
本郷三丁目,False,False
上野御徒町,False,False
新御徒町,False,False
E蔵前,False,False
両国,False,False
清澄白河,False,False
門前仲町,False,False
月島,False,False
勝どき,False,False
築地市場,False,False
汐留,False,False
赤羽橋,False,False
麻布十番,False,False
六本木,False,False
青山一丁目,False,False
国立競技場,False,False
代々木,False,False
西新宿五丁目,False,False
中野坂上,False,False
東中野,False,False
中井,False,False
落合南長崎,False,False
新江古田,False,False
練馬,False,False
豊島園,False,False
練馬春日町,False,False
押上,False,False
西高島平,False,False
本八幡,False,False
光が丘,False,False
c-浅草,False,True
c-日本橋,False,True
c-新橋,False,True
c-新宿三丁目,False,True
c-大手町,False,True
c-淡路町,False,True
c-人形町,False,True
c-東銀座,False,True
c-日比谷,False,True
c-神保町,False,True
c-市ケ谷,False,True
c-中野坂上,False,True
c-青山一丁目,False,True
c-六本木,False,True
c-麻布十番,False,True
c-月島,False,True
c-門前仲町,False,True
c-上野広小路,False,True
c-本郷三丁目,False,True
c-後楽園,False,True
c-飯田橋,False,True
c-新宿,False,True
c-清澄白河,False,True
c-住吉,False,True
c-押上,False,True
c-東新宿,False,True
c-秋葉原,False,True
