line,dep,arr,dist
浅草線,西馬込,馬込,12
浅草線,馬込,中延,9
浅草線,中延,戸越,11
浅草線,戸越,五反田,16
浅草線,五反田,高輪台,7
浅草線,高輪台,泉岳寺,14
浅草線,泉岳寺,三田,11
浅草線,三田,大門,15
浅草線,大門,新橋,10
浅草線,新橋,東銀座,9
浅草線,東銀座,宝町,8
浅草線,宝町,日本橋,8
浅草線,日本橋,人形町,8
浅草線,人形町,東日本橋,7
浅草線,東日本橋,浅草橋,7
浅草線,浅草橋,A蔵前,7
浅草線,A蔵前,浅草,9
浅草線,浅草,本所吾妻橋,7
浅草線,本所吾妻橋,押上,8
三田線,目黒,白金台,13
三田線,白金台,白金高輪,10
三田線,白金高輪,三田,17
三田線,三田,芝公園,6
三田線,芝公園,御成門,7
三田線,御成門,内幸町,11
三田線,内幸町,日比谷,9
三田線,日比谷,大手町,9
三田線,大手町,神保町,14
三田線,神保町,水道橋,10
三田線,水道橋,春日,7
三田線,春日,白山,14
三田線,白山,千石,10
三田線,千石,巣鴨,9
三田線,巣鴨,西巣鴨,14
三田線,西巣鴨,新板橋,10
三田線,新板橋,板橋区役所前,9
三田線,板橋区役所前,板橋本町,12
三田線,板橋本町,本蓮沼.,9
三田線,本蓮沼.,志村坂上,11
三田線,志村坂上,志村三丁目,9
三田線,志村三丁目,蓮根,12
三田線,蓮根,西台,8
三田線,西台,高島平,10
三田線,高島平,新高島平,7
三田線,新高島平,西高島平,8
新宿線,新宿,新宿三丁目,8
新宿線,新宿三丁目,曙橋,15
新宿線,曙橋,市ヶ谷,14
新宿線,市ヶ谷,九段下,13
新宿線,九段下,神保町,6
新宿線,神保町,小川町,9
新宿線,小川町,岩本町,8
新宿線,岩本町,馬喰横山,8
新宿線,馬喰横山,浜町,6
新宿線,浜町,森下,8
新宿線,森下,菊川,8
新宿線,菊川,住吉,9
新宿線,住吉,西大島,10
新宿線,西大島,大島,7
新宿線,大島,東大島,12
新宿線,東大島,船堀,17
新宿線,船堀,一之江,17
新宿線,一之江,瑞江,17
新宿線,瑞江,篠崎,15
新宿線,篠崎,本八幡,28
大江戸線1,都庁前,新宿西口,8
大江戸線1,新宿西口,東新宿,14
大江戸線1,東新宿,若松河田,10
大江戸線1,若松河田,牛込柳町,6
大江戸線1,牛込柳町,牛込神楽坂,10
大江戸線1,牛込神楽坂,飯田橋,10
大江戸線1,飯田橋,春日,10
大江戸線1,春日,本郷三丁目,8
大江戸線1,本郷三丁目,上野御徒町,11
大江戸線1,上野御徒町,新御徒町,8
大江戸線1,新御徒町,E蔵前,10
大江戸線2,E蔵前,両国,12
大江戸線2,両国,森下,10
大江戸線2,森下,清澄白河,6
大江戸線2,清澄白河,門前仲町,12
大江戸線2,門前仲町,月島,14
大江戸線2,月島,勝どき,8
大江戸線2,勝どき,築地市場,15
大江戸線2,築地市場,汐留,9
大江戸線2,汐留,大門,9
大江戸線2,大門,赤羽橋,13
大江戸線2,赤羽橋,麻布十番,8
大江戸線2,麻布十番,六本木,11
大江戸線2,六本木,青山一丁目,13
大江戸線2,青山一丁目,国立競技場,12
大江戸線2,国立競技場,代々木,15
大江戸線2,代々木,新宿,6
大江戸線2,新宿,都庁前,8
大江戸線2,都庁前,西新宿五丁目,8
大江戸線2,西新宿五丁目,中野坂上,12
大江戸線2,中野坂上,東中野,10
大江戸線2,東中野,中井,8
大江戸線2,中井,落合南長崎,13
大江戸線2,落合南長崎,新江古田,16
大江戸線2,新江古田,練馬,16
大江戸線2,練馬,豊島園,9
大江戸線2,豊島園,練馬春日町,15
大江戸線2,練馬春日町,光が丘,14
徒歩,馬喰横山,東日本橋,0
徒歩,A蔵前,E蔵前,0
連絡駅,浅草,c-浅草,0
連絡駅,日本橋,c-日本橋,0
連絡駅,新橋,c-新橋,0
連絡駅,新宿三丁目,c-新宿三丁目,0
連絡駅,大手町,c-大手町,0
連絡駅,小川町,c-淡路町,0
連絡駅,人形町,c-人形町,0
連絡駅,東銀座,c-東銀座,0
連絡駅,日比谷,c-日比谷,0
連絡駅,神保町,c-神保町,0
連絡駅,市ヶ谷,c-市ケ谷,0
連絡駅,中野坂上,c-中野坂上,0
連絡駅,青山一丁目,c-青山一丁目,0
連絡駅,六本木,c-六本木,0
連絡駅,麻布十番,c-麻布十番,0
連絡駅,月島,c-月島,0
連絡駅,門前仲町,c-門前仲町,0
連絡駅,上野御徒町,c-上野広小路,0
連絡駅,本郷三丁目,c-本郷三丁目,0
連絡駅,春日,c-後楽園,0
連絡駅,飯田橋,c-飯田橋,0
連絡駅,新宿西口,c-新宿,0
連絡駅,清澄白河,c-清澄白河,0
連絡駅,住吉,c-住吉,0
連絡駅,押上,c-押上,0
連絡駅,東新宿,c-東新宿,0
連絡駅,岩本町,c-秋葉原,0
